# rt	acc	condition
0.275	1	iid_same
0.334	1	iid_same
0.616	1	iid_same
0.333	0	iid_same
0.377	1	iid_same
0.409	1	iid_same
0.633	1	iid_same
0.277	0	iid_same
0.497	0	iid_same
1.013	1	iid_same
0.264	1	iid_same
0.587	1	iid_same
0.431	1	iid_same
0.427	1	iid_same
0.399	0	iid_same
0.413	0	iid_same
0.842	1	iid_same
0.351	1	iid_same
0.42	1	iid_same
0.299	1	iid_same
0.228	0	iid_same
0.348	1	iid_same
0.336	1	iid_same
0.357	1	iid_same
1.07	1	iid_same
0.248	1	iid_same
0.424	1	iid_same
0.372	1	iid_same
0.415	1	iid_same
0.303	1	iid_same
0.545	1	iid_same
0.582	1	iid_same
0.193	1	iid_same
0.63	1	iid_same
0.235	1	iid_same
0.627	1	iid_same
0.329	0	iid_same
0.221	1	iid_same
0.493	1	iid_same
0.435	1	iid_same
0.492	1	iid_same
0.355	1	iid_same
0.428	1	iid_same
0.345	1	iid_same
0.298	1	iid_same
0.505	0	iid_same
0.548	1	iid_same
0.387	1	iid_same
0.465	1	iid_same
0.224	1	iid_same
0.487	1	iid_same
0.434	1	iid_same
0.319	0	iid_same
0.331	1	iid_same
0.276	0	iid_same
0.545	1	iid_same
0.335	1	iid_same
0.539	1	iid_same
0.499	1	iid_same
0.275	1	iid_same
0.549	1	iid_same
0.397	1	iid_same
0.528	1	iid_same
0.312	1	iid_same
0.376	1	iid_same
0.246	1	iid_same
0.306	1	iid_same
1.036	0	iid_same
0.276	1	iid_same
0.438	1	iid_same
0.813	0	iid_same
0.307	1	iid_same
0.317	1	iid_same
0.387	1	iid_same
0.735	1	iid_same
0.525	1	iid_same
0.398	1	iid_same
0.265	1	iid_same
0.326	1	iid_same
0.384	1	iid_same
0.612	0	iid_same
0.31	1	iid_same
0.357	1	iid_same
0.422	1	iid_same
0.212	0	iid_same
0.612	1	iid_same
0.359	1	iid_same
0.448	0	iid_same
0.519	1	iid_same
0.438	1	iid_same
0.417	1	iid_same
0.844	1	iid_same
0.432	1	iid_same
0.644	1	iid_same
0.375	1	iid_same
0.624	1	iid_same
0.872	1	iid_same
0.441	1	iid_same
0.248	0	iid_same
0.8	1	iid_same
